,Proximity_to_Beer,Covered,Customer_Rating,Price,Row,Section,Home_Away,Family_Bathrooms,Section/Row,Covered_Seating,Home or Away
139,7.0,0.0,5.0,151.56,10,127,1,2,"Section 127, Row 10",Uncovered,Home
142,7.0,0.0,5.0,161.0,13,127,1,2,"Section 127, Row 13",Uncovered,Home
143,7.0,0.0,5.0,189.0,14,127,1,2,"Section 127, Row 14",Uncovered,Home
144,7.0,0.0,5.0,160.33,15,127,1,2,"Section 127, Row 15",Uncovered,Home
145,7.0,0.0,4.0,131.67,16,127,1,2,"Section 127, Row 16",Uncovered,Home
146,7.0,0.0,5.0,218.0,17,127,1,2,"Section 127, Row 17",Uncovered,Home
147,7.0,0.0,4.0,123.0,21,127,1,2,"Section 127, Row 21",Uncovered,Home
148,7.0,0.0,4.0,122.0,22,127,1,2,"Section 127, Row 22",Uncovered,Home
149,7.0,0.0,5.0,154.0,23,127,1,2,"Section 127, Row 23",Uncovered,Home
150,7.0,0.0,5.0,203.0,24,127,1,2,"Section 127, Row 24",Uncovered,Home
151,7.0,0.0,5.0,175.0,3,127,1,2,"Section 127, Row 3",Uncovered,Home
152,7.0,0.0,5.0,198.25,7,127,1,2,"Section 127, Row 7",Uncovered,Home
153,6.0,0.0,5.0,204.0,1,128,1,3,"Section 128, Row 1",Uncovered,Home
154,6.0,0.0,5.0,214.0,2,128,1,3,"Section 128, Row 2",Uncovered,Home
158,6.0,0.0,5.0,182.33,5,128,1,3,"Section 128, Row 5",Uncovered,Home
171,5.0,0.0,2.0,260.36,3,129,1,4,"Section 129, Row 3",Uncovered,Home
174,5.0,0.0,2.0,287.5,37,129,1,4,"Section 129, Row 37",Uncovered,Home
175,5.0,0.0,2.0,316.5,4,129,1,4,"Section 129, Row 4",Uncovered,Home
181,5.0,0.0,2.0,288.67,6,129,1,4,"Section 129, Row 6",Uncovered,Home
182,5.0,0.0,2.0,265.12,7,129,1,4,"Section 129, Row 7",Uncovered,Home
189,4.0,0.0,2.0,272.0,4,130,1,5,"Section 130, Row 4",Uncovered,Home
193,3.0,0.0,4.0,112.0,10,131,1,5,"Section 131, Row 10",Uncovered,Home
194,3.0,0.0,4.0,145.0,11,131,1,5,"Section 131, Row 11",Uncovered,Home
195,3.0,0.0,5.0,183.0,12,131,1,5,"Section 131, Row 12",Uncovered,Home
196,3.0,0.0,4.0,124.0,14,131,1,5,"Section 131, Row 14",Uncovered,Home
197,3.0,0.0,4.0,147.0,15,131,1,5,"Section 131, Row 15",Uncovered,Home
198,3.0,0.0,5.0,166.67,16,131,1,5,"Section 131, Row 16",Uncovered,Home
199,3.0,0.0,5.0,183.0,18,131,1,5,"Section 131, Row 18",Uncovered,Home
200,3.0,0.0,5.0,174.5,19,131,1,5,"Section 131, Row 19",Uncovered,Home
201,3.0,0.0,5.0,173.0,20,131,1,5,"Section 131, Row 20",Uncovered,Home
202,3.0,0.0,5.0,212.0,21,131,1,5,"Section 131, Row 21",Uncovered,Home
203,3.0,0.0,4.0,126.0,22,131,1,5,"Section 131, Row 22",Uncovered,Home
204,3.0,0.0,5.0,211.0,23,131,1,5,"Section 131, Row 23",Uncovered,Home
205,3.0,0.0,5.0,209.0,24,131,1,5,"Section 131, Row 24",Uncovered,Home
206,3.0,0.0,4.0,142.25,25,131,1,5,"Section 131, Row 25",Uncovered,Home
207,3.0,0.0,5.0,180.33,26,131,1,5,"Section 131, Row 26",Uncovered,Home
208,3.0,0.0,5.0,204.0,27,131,1,5,"Section 131, Row 27",Uncovered,Home
210,3.0,0.0,4.0,148.0,8,131,1,5,"Section 131, Row 8",Uncovered,Home
213,2.0,0.0,4.0,109.33,11,132,1,4,"Section 132, Row 11",Uncovered,Home
214,2.0,0.0,4.0,113.7,12,132,1,4,"Section 132, Row 12",Uncovered,Home
216,2.0,0.0,4.0,97.4,15,132,1,4,"Section 132, Row 15",Uncovered,Home
221,2.0,0.0,4.0,111.5,29,132,1,4,"Section 132, Row 29",Uncovered,Home
222,2.0,0.0,4.0,116.0,3,132,1,4,"Section 132, Row 3",Uncovered,Home
226,2.0,0.0,4.0,108.55,4,132,1,4,"Section 132, Row 4",Uncovered,Home
227,2.0,0.0,4.0,112.8,5,132,1,4,"Section 132, Row 5",Uncovered,Home
228,2.0,0.0,4.0,125.0,6,132,1,4,"Section 132, Row 6",Uncovered,Home
233,1.0,0.0,4.0,84.67,1,133,1,3,"Section 133, Row 1",Uncovered,Home
235,1.0,0.0,4.0,99.5,11,133,1,3,"Section 133, Row 11",Uncovered,Home
236,1.0,0.0,4.0,72.5,12,133,1,3,"Section 133, Row 12",Uncovered,Home
237,1.0,0.0,4.0,80.0,13,133,1,3,"Section 133, Row 13",Uncovered,Home
238,1.0,0.0,4.0,78.0,14,133,1,3,"Section 133, Row 14",Uncovered,Home
241,1.0,0.0,4.0,73.0,20,133,1,3,"Section 133, Row 20",Uncovered,Home
242,1.0,0.0,4.0,113.5,21,133,1,3,"Section 133, Row 21",Uncovered,Home
243,1.0,0.0,4.0,84.0,22,133,1,3,"Section 133, Row 22",Uncovered,Home
246,1.0,0.0,4.0,95.0,30,133,1,3,"Section 133, Row 30",Uncovered,Home
247,1.0,0.0,4.0,91.67,31,133,1,3,"Section 133, Row 31",Uncovered,Home
248,1.0,0.0,4.0,76.0,32,133,1,3,"Section 133, Row 32",Uncovered,Home
249,1.0,0.0,4.0,79.0,33,133,1,3,"Section 133, Row 33",Uncovered,Home
250,1.0,0.0,4.0,76.0,34,133,1,3,"Section 133, Row 34",Uncovered,Home
257,1.0,0.0,4.0,78.5,10,135,1,1,"Section 135, Row 10",Uncovered,Home
258,1.0,0.0,4.0,70.0,11,135,1,1,"Section 135, Row 11",Uncovered,Home
259,1.0,0.0,4.0,71.0,13,135,1,1,"Section 135, Row 13",Uncovered,Home
260,1.0,0.0,4.0,91.0,14,135,1,1,"Section 135, Row 14",Uncovered,Home
