,Section,Row,Price
510,136,12,73.0
511,136,13,65.0
512,136,14,72.0
513,136,15,110.0
514,136,16,90.5
515,136,17,85.0
516,136,18,84.0
517,136,20,75.0
518,136,22,84.0
519,136,23,74.5
520,136,24,70.0
521,136,25,69.0
522,136,5,97.0
523,136,6,93.5
524,136,7,78.0
525,136,8,87.5
526,136,9,74.0
527,137,1,120.0
528,137,10,69.33
529,137,13,113.0
530,137,17,67.0
531,137,19,70.0
532,137,2,110.0
533,137,20,78.0
534,137,21,77.0
535,137,22,79.0
536,137,26,68.0
537,137,28,68.5
538,137,3,100.0
539,137,4,148.33
540,137,5,116.33
541,137,7,77.0
542,137,8,83.5
543,137,9,75.0
544,138,1,150.33
545,138,10,116.0
546,138,11,90.0
547,138,12,114.0
548,138,15,69.0
549,138,16,77.0
550,138,17,107.0
551,138,2,119.5
552,138,4,89.33
553,138,5,104.75
554,138,6,78.0
555,138,7,94.75
556,138,8,74.33
557,138,Zone Seating,85.6
558,139,1,120.75
559,139,10,89.0
560,139,2,112.25
561,139,3,100.5
562,139,4,103.67
563,139,5,92.25
564,139,7,83.0
565,139,8,83.0
566,139,9,90.67
567,213,13,297.25
568,222,1,125.42
569,222,2,123.33
570,223,1,85.25
571,223,2,76.67
572,224,1,145.5
573,224,2,114.0
574,224,3,78.0
575,224,5,72.0
576,224,6,86.67
577,224,8,108.5
578,224,9,72.67
579,233,1,125.75
580,233,10,92.5
581,233,2,132.75
582,233,5,144.0
583,233,6,129.75
584,233,7,160.33
585,233,8,140.75
586,234,13,90.0
587,234,14,89.0
588,301,11,97.25
589,301,12,65.0
590,301,13,66.6
591,301,17,72.75
592,301,18,69.75
593,301,19,66.5
594,301,28,58.67
595,301,32,64.5
596,301,40,51.75
597,301,7,120.25
598,301,8,124.5
599,301,9,122.25
600,301,Zone Seating,89.58
601,302,21,66.0
602,302,22,63.67
603,302,23,68.5
604,302,26,83.0
605,302,27,63.0
606,302,28,62.67
607,302,31,160.43
608,302,32,174.0
609,302,33,67.67
610,302,34,63.0
611,302,35,51.5
612,302,36,55.0
613,302,37,59.0
614,302,38,57.0
615,302,39,61.0
616,302,40,59.0
617,303,16,81.75
618,303,18,80.75
619,303,19,79.75
620,303,20,85.0
621,303,21,89.0
622,303,28,73.0
623,303,29,79.33
624,303,31,76.0
625,303,32,105.0
626,303,33,76.75
627,303,34,83.0
628,303,35,81.25
629,303,Zone Seating,128.8
630,304,1,192.0
631,304,17,82.0
632,304,18,91.5
633,304,19,74.5
634,304,20,93.0
635,304,21,80.25
636,304,Zone Seating,102.18
637,305,19,105.0
638,305,22,111.33
639,305,25,115.5
640,305,26,114.25
641,305,35,90.5
642,305,36,110.0
643,306,23,125.0
644,306,24,141.25
645,306,27,128.5
646,306,33,68.0
647,306,34,122.8
648,306,35,142.25
649,307,17,104.0
650,307,20,106.5
651,307,22,118.75
652,307,24,117.25
653,307,25,122.0
654,307,26,108.33
655,307,27,112.25
656,307,35,122.0
657,307,36,105.0
658,308,1,248.25
659,308,16,73.0
660,308,18,69.0
661,308,19,87.33
662,308,20,72.33
663,308,21,85.33
664,308,28,86.0
665,309,16,106.0
666,309,18,93.0
667,309,19,89.0
668,309,20,72.0
669,309,21,71.5
670,309,28,74.0
671,309,29,85.0
672,309,30,71.0
673,309,31,78.5
674,309,32,69.0
675,309,36,80.0
676,310,21,53.0
677,310,22,69.0
678,310,23,63.0
679,310,24,73.0
680,310,25,65.75
681,310,26,63.5
682,310,27,58.25
683,310,28,61.0
684,310,29,72.88
685,310,30,52.0
686,310,31,53.33
687,310,32,66.67
688,310,33,49.33
689,310,35,54.75
690,310,36,56.0
691,310,37,55.0
692,310,38,56.0
693,310,39,57.0
694,311,1,229.0
695,311,11,94.5
696,311,13,73.5
697,311,14,63.67
698,311,27,54.25
699,311,29,61.5
700,311,31,59.75
701,311,32,58.0
702,311,33,53.25
703,311,34,56.5
704,311,36,77.0
705,311,37,55.0
706,311,6,126.75
707,311,9,118.25
708,325,1,109.75
709,325,10,68.0
710,325,11,66.5
711,325,12,54.5
712,325,16,61.75
713,325,23,66.67
714,325,26,55.75
715,325,3,80.67
716,325,30,57.5
717,325,33,68.25
718,325,36,55.0
719,325,37,46.0
720,325,4,71.17
721,325,45,63.5
722,325,46,65.67
723,325,47,55.67
724,325,48,49.0
725,325,49,55.4
726,325,5,77.5
727,325,50,57.75
728,325,51,77.5
729,325,52,58.0
730,325,53,85.25
731,325,55,42.5
732,325,56,54.5
733,325,57,52.0
734,325,58,37.5
735,325,60,54.33
736,325,62,45.83
737,325,63,43.33
738,325,64,44.8
739,325,66,49.25
740,325,8,73.5
741,325,9,70.0
742,326,13,86.25
743,326,15,71.5
744,326,16,69.5
745,326,17,69.0
746,326,18,68.0
747,326,19,75.25
748,326,20,73.5
749,326,21,76.33
750,326,22,66.0
751,326,23,88.0
752,326,24,85.0
753,326,25,56.0
754,326,27,64.0
755,326,28,58.17
756,326,29,72.0
757,326,30,77.0
758,326,31,64.0
759,326,32,44.0
760,327,14,123.33
761,327,32,71.0
762,327,33,92.67
763,327,35,68.0
764,327,36,67.0
765,327,37,66.0
766,327,38,66.5
767,327,39,71.0
768,327,4,84.0
769,327,45,75.4
770,327,46,60.5
771,327,48,50.0
772,327,5,100.5
773,327,50,51.5
774,327,51,82.25
775,327,52,65.33
776,327,53,70.43
777,327,54,80.67
778,327,55,81.5
779,327,56,93.5
780,327,57,86.0
781,327,6,95.67
782,327,Zone Seating,89.62
783,328,10,147.0
784,328,11,138.0
785,328,12,116.0
786,328,13,134.0
787,328,15,133.0
788,328,16,119.5
789,328,17,144.67
790,328,18,117.0
791,328,27,73.0
792,328,28,122.5
793,328,42,104.25
794,328,46,98.0
795,328,7,129.0
796,328,8,134.0
797,328,9,158.5
798,329,43,114.33
799,329,44,117.33
800,329,46,97.0
801,329,47,90.0
802,329,48,103.25
803,329,49,94.0
804,329,50,107.38
805,329,52,104.5
806,329,Zone Seating,151.35
807,330,10,164.0
808,330,11,124.0
809,330,12,145.5
810,330,13,147.33
811,330,15,197.0
812,330,16,163.0
813,330,17,117.0
814,330,18,192.0
815,330,19,160.5
816,330,25,68.0
817,330,36,80.5
818,330,39,94.5
819,330,43,103.0
820,330,44,106.25
821,330,46,127.0
822,330,47,124.0
823,330,7,136.0
824,330,8,144.5
825,330,9,192.0
826,331,2,83.0
827,331,24,74.0
828,331,29,73.0
829,331,30,78.0
830,331,33,120.0
831,331,34,77.0
832,331,35,97.0
833,331,36,76.0
834,331,37,65.0
835,331,38,84.5
836,331,39,65.0
837,331,4,94.67
838,331,45,79.0
839,331,46,56.0
840,331,47,72.25
841,331,48,63.0
842,331,49,89.43
843,331,5,90.5
844,331,50,67.67
845,331,51,74.5
846,331,52,83.33
847,331,53,93.0
848,331,6,81.0
849,331,61,105.0
850,331,62,98.0
851,331,63,88.0
852,331,64,82.0
853,331,65,78.0
854,331,66,104.0
855,331,67,103.0
856,332,1,110.67
857,332,11,77.0
858,332,12,85.5
859,332,13,87.33
860,332,14,77.0
861,332,15,76.0
862,332,16,74.0
863,332,17,70.0
864,332,18,89.5
865,332,19,88.5
866,332,20,87.0
867,332,22,60.0
868,332,23,62.0
869,332,24,60.5
870,332,25,81.5
871,332,27,54.0
872,332,28,48.0
873,332,29,71.33
874,332,30,76.33
875,332,31,58.33
876,332,32,48.0
877,332,34,81.0
878,332,37,67.5
879,332,39,75.0
880,332,41,132.0
881,332,43,44.0
882,332,5,61.0
883,332,6,68.5
884,332,7,78.0
885,332,8,76.0
886,333,1,109.0
887,333,10,65.25
888,333,11,60.29
889,333,12,52.0
890,333,13,50.67
891,333,14,61.75
892,333,15,64.75
893,333,16,59.5
894,333,17,66.5
895,333,18,77.75
896,333,20,67.5
897,333,21,72.25
898,333,22,60.0
899,333,23,75.1
900,333,24,69.38
901,333,28,74.0
902,333,29,45.0
903,333,3,77.33
904,333,30,45.0
905,333,32,52.0
906,333,4,66.8
907,333,45,48.4
908,333,46,49.5
909,333,47,41.5
910,333,48,32.0
911,333,49,47.8
912,333,5,74.0
913,333,50,63.5
914,333,53,55.67
915,333,57,46.0
916,333,58,49.5
917,333,59,52.0
918,333,62,42.0
919,333,63,42.0
920,333,64,49.8
921,333,65,71.25
922,333,67,29.0
923,333,7,71.25
924,333,8,68.0
925,333,9,64.8
926,333,Zone Seating,68.31
